
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.931
New best score: 11 (< 1000, chưa lưu file)
Ep  150/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 197.6916 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 116.0891 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 145.9090 | ε: 0.911
Ep  190/3000 | Score:     11 | Pieces:  28 | Lines:   1 | Loss: 193.0221 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 290.3257 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 395.8836 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 491.0596 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  28 | Lines:   0 | Loss: 617.3101 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 713.4548 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 736.2854 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 772.4034 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 877.9651 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 1146.4849 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1108.6095 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1188.1561 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1183.0583 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1218.3403 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1244.4953 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1274.3024 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 1343.8549 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1232.8737 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1276.1031 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1282.1482 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1262.8149 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1335.5529 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1226.7697 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1273.8398 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1188.4514 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1309.5520 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1344.8640 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1205.7366 | ε: 0.771
Ep  470/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1110.5213 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 1137.5476 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1204.5950 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1108.2923 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1107.4433 | ε: 0.746
Ep  520/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1068.1551 | ε: 0.741
Ep  530/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1116.7581 | ε: 0.736
Ep  540/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 1093.9544 | ε: 0.731
Ep  550/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1035.7524 | ε: 0.726
Ep  560/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1199.8127 | ε: 0.721
Ep  570/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1086.8561 | ε: 0.716
Ep  580/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1254.3710 | ε: 0.711
Ep  590/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1336.1641 | ε: 0.706
Ep  600/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1239.6892 | ε: 0.701
Ep  610/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1180.0745 | ε: 0.696
Ep  620/3000 | Score:     11 | Pieces:  22 | Lines:   1 | Loss: 1086.3533 | ε: 0.691
Ep  630/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1152.5266 | ε: 0.686
Ep  640/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1116.8180 | ε: 0.681
Ep  650/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1061.3069 | ε: 0.676
Ep  660/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1058.3079 | ε: 0.671
Ep  670/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 1053.9602 | ε: 0.666
Ep  680/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1073.8018 | ε: 0.661
Ep  690/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1123.2397 | ε: 0.656
Ep  700/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1198.3799 | ε: 0.651
Ep  710/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1221.6156 | ε: 0.646
Ep  720/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1194.8674 | ε: 0.641
Ep  730/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1293.0856 | ε: 0.636
Ep  740/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1226.1449 | ε: 0.631
Ep  750/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1292.3332 | ε: 0.626
Ep  760/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1111.0904 | ε: 0.621
Ep  770/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 992.1151 | ε: 0.616
Ep  780/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1072.5048 | ε: 0.611
Ep  790/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1038.8390 | ε: 0.606
Ep  800/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1071.1420 | ε: 0.601
Ep  810/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 983.8679 | ε: 0.596
Ep  820/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 955.6359 | ε: 0.591
Ep  830/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 856.8538 | ε: 0.586
Ep  840/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 880.1078 | ε: 0.581
Ep  850/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 835.5812 | ε: 0.576
Ep  860/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 811.2800 | ε: 0.571
Ep  870/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 878.6441 | ε: 0.566
Ep  880/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 859.5575 | ε: 0.561
