
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.946
New best score: 11 (< 1000, chưa lưu file)
Ep  120/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 140.0051 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  10 | Lines:   0 | Loss: 147.1434 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 250.2105 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 381.2668 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 549.2889 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 654.7627 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 830.1860 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 934.1232 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1156.6536 | ε: 0.881
New best score: 22 (< 1000, chưa lưu file)
Ep  250/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1229.3056 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1390.2558 | ε: 0.871
