
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 170.4011 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 210.8686 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 325.7629 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 485.3297 | ε: 0.906
New best score: 11 (< 1000, chưa lưu file)
Ep  200/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 625.9105 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 844.2312 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 986.1169 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 990.9728 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1185.4631 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1275.5411 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1396.4061 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1590.7504 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1886.3519 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1829.9387 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2277.4609 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2215.9162 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 2498.4994 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2710.2555 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2884.2865 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2869.4786 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 3368.9506 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2986.1033 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2766.2179 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2712.4379 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2989.2332 | ε: 0.801
