
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  11 | Lines:   0 | Loss: 0.0000 | ε: 0.991
New best score: 11 (< 1000, chưa lưu file)
Ep   30/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  11 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 282.4007 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 341.2591 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 538.8625 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 640.3605 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 881.6728 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 959.9146 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1108.1658 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 1202.7584 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1347.1741 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1410.5154 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1501.3890 | ε: 0.871
Ep  270/3000 | Score:     11 | Pieces:  23 | Lines:   1 | Loss: 1752.1999 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1897.1803 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1998.2752 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 2092.6155 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2233.4349 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2401.9386 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2311.2444 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2497.2656 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 2295.5239 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2286.5506 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2241.2137 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2511.8102 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2168.8915 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2066.8688 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2221.0503 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2386.1689 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 2211.4944 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2234.1627 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2212.4648 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2249.3087 | ε: 0.771
Ep  470/3000 | Score:     11 | Pieces:  20 | Lines:   1 | Loss: 2102.9178 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2499.7231 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2259.9459 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2309.2791 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2227.4700 | ε: 0.746
Ep  520/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2501.4236 | ε: 0.741
Ep  530/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2427.0828 | ε: 0.736
Ep  540/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2399.2206 | ε: 0.731
Ep  550/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2184.5299 | ε: 0.726
Ep  560/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2316.3303 | ε: 0.721
Ep  570/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2284.3673 | ε: 0.716
Ep  580/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2150.0990 | ε: 0.711
Ep  590/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2027.5055 | ε: 0.706
Ep  600/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2147.0271 | ε: 0.701
Ep  610/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1928.0051 | ε: 0.696
Ep  620/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2047.4775 | ε: 0.691
Ep  630/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1995.4284 | ε: 0.686
Ep  640/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1968.5865 | ε: 0.681
Ep  650/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 1798.8281 | ε: 0.676
