
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.0001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.946
New best score: 11 (< 1000, chưa lưu file)
Ep  120/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 212.9048 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 194.2033 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 198.3251 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 207.3827 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 209.8271 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 225.3138 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 227.7800 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 248.8293 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 258.3995 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 273.3552 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 289.2012 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 300.6436 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 324.1326 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 348.2409 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 370.4382 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 381.3182 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 426.0709 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 453.7133 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 484.3784 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 531.0475 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 591.6495 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 620.7392 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 698.7711 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 683.0561 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 736.4154 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  11 | Lines:   0 | Loss: 749.9554 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 846.5264 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 884.5757 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 986.9411 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1005.3425 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1089.2569 | ε: 0.771
Ep  470/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1099.8351 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1129.3569 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1183.6989 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1312.6900 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1323.7035 | ε: 0.746
Ep  520/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1450.9001 | ε: 0.741
Ep  530/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 1429.2953 | ε: 0.736
