
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.966
New best score: 11 (< 1000, chưa lưu file)
Ep   80/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 155.4531 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 168.3529 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 260.2394 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 376.9617 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 541.1889 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 760.8919 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 916.0490 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 1026.9823 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1199.1371 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1221.6542 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1465.3202 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1370.3823 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  11 | Lines:   0 | Loss: 1436.5625 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1612.7305 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1788.1840 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1745.5967 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1884.9279 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1704.2083 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1824.4084 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1916.5495 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1906.4544 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2049.4831 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2505.1578 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2318.6715 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 2561.4657 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2553.2166 | ε: 0.796
