
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000
Replay buffer size: 1500
Max episode pieces: 10000
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 73.2682 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 284.3964 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 414.8531 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 547.7235 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 702.0019 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 876.4852 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1029.2238 | ε: 0.956
New best score: 11 (< 1000, chưa lưu file)
Ep  100/3000 | Score:     11 | Pieces:  20 | Lines:   1 | Loss: 1181.1239 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1236.5540 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1425.7356 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1573.0002 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1718.7405 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1761.7967 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1981.1263 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1938.7702 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1913.7058 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1975.7300 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1981.0437 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2044.5775 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2075.8796 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 2001.6227 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2058.3013 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2130.0846 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:   9 | Lines:   0 | Loss: 1851.0340 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2045.1260 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2001.1275 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  28 | Lines:   0 | Loss: 1984.0785 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2035.9723 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1907.9000 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 2021.3508 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1977.4413 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2020.7052 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2016.8158 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 2181.7959 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1966.7006 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1690.4523 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1704.3705 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1787.8694 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1778.2317 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2030.3537 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  10 | Lines:   0 | Loss: 2174.3720 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2053.8474 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1954.0936 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2001.2663 | ε: 0.771
Ep  470/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1984.4580 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1810.3406 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1811.5286 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 1852.8044 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1710.6851 | ε: 0.746
