
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.0005
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 0.0000 | ε: 0.997
Ep   20/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 0.0000 | ε: 0.994
Ep   30/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 82.1067 | ε: 0.990
New best score: 11 (< 1000, chưa lưu file)
Ep   40/3000 | Best_Score:     11 | Best_Pieces:  26 | Best_Lines:   1 | Avg_Loss: 108.5643 | ε: 0.987
Ep   50/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 103.0393 | ε: 0.983
Ep   60/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 87.7290 | ε: 0.980
Ep   70/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 83.6106 | ε: 0.977
Ep   80/3000 | Best_Score:      0 | Best_Pieces:  28 | Best_Lines:   0 | Avg_Loss: 83.8797 | ε: 0.973
Ep   90/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 85.8615 | ε: 0.970
Ep  100/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 84.2377 | ε: 0.966
Ep  110/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 134.4945 | ε: 0.963
Ep  120/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 98.4532 | ε: 0.960
Ep  130/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 81.4811 | ε: 0.956
Ep  140/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 82.0238 | ε: 0.953
Ep  150/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 76.9138 | ε: 0.949
Ep  160/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 78.9180 | ε: 0.946
Ep  170/3000 | Best_Score:     11 | Best_Pieces:  23 | Best_Lines:   1 | Avg_Loss: 76.0871 | ε: 0.943
Ep  180/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 78.9477 | ε: 0.939
