
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.01
Epsilon decay episodes: 2000.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 57.5592 | ε: 0.986
Ep   40/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 155.0039 | ε: 0.981
Ep   50/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 135.8135 | ε: 0.976
Ep   60/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 117.3233 | ε: 0.971
Ep   70/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 111.6701 | ε: 0.966
Ep   80/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 107.9528 | ε: 0.961
Ep   90/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 105.0951 | ε: 0.956
Ep  100/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 110.7634 | ε: 0.951
Ep  110/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 237.5205 | ε: 0.946
Ep  120/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 193.4565 | ε: 0.941
Ep  130/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 176.6467 | ε: 0.936
Ep  140/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 185.5705 | ε: 0.931
Ep  150/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 167.4469 | ε: 0.926
Ep  160/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 170.9999 | ε: 0.921
Ep  170/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 167.0790 | ε: 0.916
New best score: 11 (< 1000, chưa lưu file)
Ep  180/3000 | Avg_Score:      1 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 171.4846 | ε: 0.911
Ep  190/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 161.3571 | ε: 0.906
Ep  200/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 161.7471 | ε: 0.901
