
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000.0
Target update interval: 10
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
New best score: 11 | lines cleared: 1 | pieces: 1 | tetris_best_11.pth
Ep  100/3000 | Avg_Score: 0.33 | Avg_Pieces: 0.69 | Avg_Lines: 0.03 | Loss: 0.0000 | ε: 0.951
Ep  200/3000 | Avg_Score: 0.11 | Avg_Pieces: 0.85 | Avg_Lines: 0.01 | Loss: 0.0000 | ε: 0.901
Ep  300/3000 | Avg_Score: 0.00 | Avg_Pieces: 0.56 | Avg_Lines: 0.00 | Loss: 0.0000 | ε: 0.851
Ep  400/3000 | Avg_Score: 0.33 | Avg_Pieces: 0.70 | Avg_Lines: 0.03 | Loss: 37520.6749 | ε: 0.801
New best score: 22 | lines cleared: 2 | pieces: 3 | tetris_best_22.pth
Ep  500/3000 | Avg_Score: 0.66 | Avg_Pieces: 0.76 | Avg_Lines: 0.06 | Loss: 44891.1438 | ε: 0.751
Ep  600/3000 | Avg_Score: 0.00 | Avg_Pieces: 0.74 | Avg_Lines: 0.00 | Loss: 38417.2831 | ε: 0.701
Ep  700/3000 | Avg_Score: 0.00 | Avg_Pieces: 0.82 | Avg_Lines: 0.00 | Loss: 26214.3860 | ε: 0.651
New best score: 41 | lines cleared: 2 | pieces: 3 | tetris_best_41.pth
Ep  800/3000 | Avg_Score: 0.63 | Avg_Pieces: 0.82 | Avg_Lines: 0.04 | Loss: 6598.7747 | ε: 0.601
Ep  900/3000 | Avg_Score: 0.52 | Avg_Pieces: 0.97 | Avg_Lines: 0.03 | Loss: 1014.4256 | ε: 0.551
New best score: 52 | lines cleared: 3 | pieces: 3 | tetris_best_52.pth
Ep 1000/3000 | Avg_Score: 1.15 | Avg_Pieces: 0.92 | Avg_Lines: 0.07 | Loss: 755.2037 | ε: 0.501
Ep 1100/3000 | Avg_Score: 0.11 | Avg_Pieces: 1.10 | Avg_Lines: 0.01 | Loss: 720.2476 | ε: 0.451
Ep 1200/3000 | Avg_Score: 0.44 | Avg_Pieces: 1.06 | Avg_Lines: 0.04 | Loss: 708.7909 | ε: 0.401
Ep 1300/3000 | Avg_Score: 1.75 | Avg_Pieces: 1.15 | Avg_Lines: 0.09 | Loss: 679.5514 | ε: 0.351
Ep 1400/3000 | Avg_Score: 0.52 | Avg_Pieces: 1.13 | Avg_Lines: 0.03 | Loss: 690.3533 | ε: 0.301
Ep 1500/3000 | Avg_Score: 1.23 | Avg_Pieces: 1.08 | Avg_Lines: 0.06 | Loss: 669.4512 | ε: 0.251
Ep 1600/3000 | Avg_Score: 0.44 | Avg_Pieces: 1.28 | Avg_Lines: 0.04 | Loss: 687.2412 | ε: 0.201
Ep 1700/3000 | Avg_Score: 1.34 | Avg_Pieces: 1.27 | Avg_Lines: 0.07 | Loss: 689.5301 | ε: 0.151
Ep 1800/3000 | Avg_Score: 1.45 | Avg_Pieces: 1.23 | Avg_Lines: 0.08 | Loss: 672.4838 | ε: 0.101
Ep 1900/3000 | Avg_Score: 0.41 | Avg_Pieces: 1.15 | Avg_Lines: 0.02 | Loss: 648.9672 | ε: 0.051
Ep 2000/3000 | Avg_Score: 1.34 | Avg_Pieces: 1.27 | Avg_Lines: 0.07 | Loss: 649.3382 | ε: 0.001
Ep 2100/3000 | Avg_Score: 1.34 | Avg_Pieces: 1.27 | Avg_Lines: 0.07 | Loss: 645.5775 | ε: 0.001
Ep 2200/3000 | Avg_Score: 0.52 | Avg_Pieces: 1.19 | Avg_Lines: 0.03 | Loss: 654.2686 | ε: 0.001
Ep 2300/3000 | Avg_Score: 2.87 | Avg_Pieces: 1.21 | Avg_Lines: 0.14 | Loss: 662.4439 | ε: 0.001
Ep 2400/3000 | Avg_Score: 1.75 | Avg_Pieces: 1.36 | Avg_Lines: 0.09 | Loss: 638.5040 | ε: 0.001
Ep 2500/3000 | Avg_Score: 1.23 | Avg_Pieces: 1.20 | Avg_Lines: 0.06 | Loss: 633.4210 | ε: 0.001
Ep 2600/3000 | Avg_Score: 0.93 | Avg_Pieces: 1.26 | Avg_Lines: 0.05 | Loss: 629.6672 | ε: 0.001
Ep 2700/3000 | Avg_Score: 3.31 | Avg_Pieces: 1.38 | Avg_Lines: 0.18 | Loss: 617.5667 | ε: 0.001
Ep 2800/3000 | Avg_Score: 0.82 | Avg_Pieces: 1.12 | Avg_Lines: 0.04 | Loss: 627.2476 | ε: 0.001
Ep 2900/3000 | Avg_Score: 0.52 | Avg_Pieces: 1.24 | Avg_Lines: 0.03 | Loss: 626.2517 | ε: 0.001
Ep 3000/3000 | Avg_Score: 0.00 | Avg_Pieces: 1.25 | Avg_Lines: 0.00 | Loss: 636.8677 | ε: 0.001
