
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 64
Learning rate: 0.0001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000.0
Target update interval: 10
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
New best score: 11 | lines cleared: 1 | pieces: 19 | tetris_best_11.pth
Ep  100/3000 | Avg_Score: 0.11 | Avg_Pieces: 18.10 | Avg_Lines: 0.01 | Loss: 74.1675 | ε: 0.951
Ep  200/3000 | Avg_Score: 0.22 | Avg_Pieces: 17.72 | Avg_Lines: 0.02 | Loss: 199.1393 | ε: 0.901
Ep  300/3000 | Avg_Score: 0.00 | Avg_Pieces: 17.37 | Avg_Lines: 0.00 | Loss: 325.2620 | ε: 0.851
Ep  400/3000 | Avg_Score: 0.00 | Avg_Pieces: 16.19 | Avg_Lines: 0.00 | Loss: 469.2351 | ε: 0.801
Ep  500/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.78 | Avg_Lines: 0.00 | Loss: 498.0089 | ε: 0.751
Ep  600/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.17 | Avg_Lines: 0.00 | Loss: 523.2217 | ε: 0.701
Ep  700/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.84 | Avg_Lines: 0.00 | Loss: 551.4413 | ε: 0.651
Ep  800/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.95 | Avg_Lines: 0.00 | Loss: 615.8275 | ε: 0.601
Ep  900/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.45 | Avg_Lines: 0.00 | Loss: 637.9535 | ε: 0.551
Ep 1000/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.90 | Avg_Lines: 0.00 | Loss: 600.3599 | ε: 0.501
Ep 1100/3000 | Avg_Score: 0.22 | Avg_Pieces: 15.74 | Avg_Lines: 0.02 | Loss: 547.6835 | ε: 0.451
Ep 1200/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.66 | Avg_Lines: 0.00 | Loss: 564.5356 | ε: 0.401
Ep 1300/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.36 | Avg_Lines: 0.00 | Loss: 517.3051 | ε: 0.351
Ep 1400/3000 | Avg_Score: 0.00 | Avg_Pieces: 15.33 | Avg_Lines: 0.00 | Loss: 460.5579 | ε: 0.301
Ep 1500/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.41 | Avg_Lines: 0.00 | Loss: 532.0737 | ε: 0.251
Ep 1600/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.18 | Avg_Lines: 0.00 | Loss: 476.3801 | ε: 0.201
Ep 1700/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.40 | Avg_Lines: 0.00 | Loss: 488.8225 | ε: 0.151
Ep 1800/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.14 | Avg_Lines: 0.00 | Loss: 501.4859 | ε: 0.101
Ep 1900/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.50 | Avg_Lines: 0.00 | Loss: 407.8280 | ε: 0.051
Ep 2000/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.31 | Avg_Lines: 0.00 | Loss: 401.9469 | ε: 0.001
Ep 2100/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.64 | Avg_Lines: 0.00 | Loss: 344.8023 | ε: 0.001
Ep 2200/3000 | Avg_Score: 0.00 | Avg_Pieces: 13.27 | Avg_Lines: 0.00 | Loss: 302.5282 | ε: 0.001
Ep 2300/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.02 | Avg_Lines: 0.00 | Loss: 250.7526 | ε: 0.001
Ep 2400/3000 | Avg_Score: 0.00 | Avg_Pieces: 13.78 | Avg_Lines: 0.00 | Loss: 223.0063 | ε: 0.001
Ep 2500/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.54 | Avg_Lines: 0.00 | Loss: 201.8784 | ε: 0.001
Ep 2600/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.60 | Avg_Lines: 0.00 | Loss: 185.7868 | ε: 0.001
Ep 2700/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.68 | Avg_Lines: 0.00 | Loss: 186.9111 | ε: 0.001
Ep 2800/3000 | Avg_Score: 0.00 | Avg_Pieces: 13.68 | Avg_Lines: 0.00 | Loss: 176.6481 | ε: 0.001
Ep 2900/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.64 | Avg_Lines: 0.00 | Loss: 177.7817 | ε: 0.001
Ep 3000/3000 | Avg_Score: 0.00 | Avg_Pieces: 14.28 | Avg_Lines: 0.00 | Loss: 176.5147 | ε: 0.001
